src/features/editor/commands/metadata.ts:13	command-label	Plain text
src/features/editor/commands/metadata.ts:14	command-label	Markdown
src/features/editor/commands/metadata.ts:15	command-label	Rich text / formatted text
src/features/editor/commands/metadata.ts:16	command-label	Delete
src/features/editor/commands/metadata.ts:17	command-label	Move block up
src/features/editor/commands/metadata.ts:18	command-label	Move block down
src/features/editor/commands/metadata.ts:19	command-label	Delete word backward
src/features/editor/commands/metadata.ts:20	command-label	Delete word forward
src/features/editor/commands/metadata.ts:21	command-label	Select all
src/features/editor/commands/metadata.ts:22	command-label	Select word
src/features/editor/commands/metadata.ts:23	command-label	Jump to top
src/features/editor/commands/metadata.ts:24	command-label	Jump to bottom
src/features/editor/commands/metadata.ts:25	command-label	Jump to selection
src/features/editor/commands/metadata.ts:26	command-label	Jump to line start
src/features/editor/commands/metadata.ts:27	command-label	Jump to line end
src/features/editor/commands/metadata.ts:28	command-label	Jump to footnote definition
src/features/editor/commands/metadata.ts:29	command-label	Rename footnote
src/features/editor/commands/metadata.ts:30	command-label	Paragraph
src/features/editor/commands/metadata.ts:31	command-label	Heading 1
src/features/editor/commands/metadata.ts:32	command-label	Heading 2
src/features/editor/commands/metadata.ts:33	command-label	Heading 3
src/features/editor/commands/metadata.ts:34	command-label	Heading 4
src/features/editor/commands/metadata.ts:35	command-label	Heading 5
src/features/editor/commands/metadata.ts:36	command-label	Heading 6
src/features/editor/commands/metadata.ts:37	command-label	Link
src/features/editor/commands/metadata.ts:38	command-label	Footnote
src/features/editor/commands/metadata.ts:39	command-label	Image
src/features/editor/commands/metadata.ts:40	command-label	Ordered list
src/features/editor/commands/metadata.ts:41	command-label	Unordered list
src/features/editor/commands/metadata.ts:42	command-label	Task list
src/features/editor/commands/metadata.ts:43	command-label	Blockquote
src/features/editor/commands/metadata.ts:44	command-label	Code block
src/features/editor/commands/metadata.ts:45	command-label	Table
src/features/editor/commands/metadata.ts:46	command-label	Horizontal rule
src/features/editor/commands/metadata.ts:47	command-label	Strong
src/features/editor/commands/metadata.ts:48	command-label	Emphasis
src/features/editor/commands/metadata.ts:49	command-label	Strikethrough
src/features/editor/commands/metadata.ts:50	command-label	Inline code
src/features/editor/commands/metadata.ts:51	command-label	Clear inline formatting
src/features/editor/commands/metadata.ts:52	command-label	Paragraph
src/features/editor/commands/metadata.ts:53	command-label	Heading 1
src/features/editor/commands/metadata.ts:54	command-label	Heading 2
src/features/editor/commands/metadata.ts:55	command-label	Heading 3
src/features/editor/commands/metadata.ts:56	command-label	Heading 4
src/features/editor/commands/metadata.ts:57	command-label	Heading 5
src/features/editor/commands/metadata.ts:58	command-label	Heading 6
src/features/editor/commands/metadata.ts:59	command-label	Increase heading level
src/features/editor/commands/metadata.ts:60	command-label	Decrease heading level
src/features/editor/commands/metadata.ts:61	command-label	Ordered list
src/features/editor/commands/metadata.ts:62	command-label	Unordered list
src/features/editor/commands/metadata.ts:63	command-label	Task list
src/features/editor/commands/metadata.ts:64	command-label	Increase list indent
src/features/editor/commands/metadata.ts:65	command-label	Decrease list indent
src/features/editor/commands/metadata.ts:66	command-label	Toggle task checked
src/features/editor/commands/metadata.ts:67	command-label	Blockquote
src/features/editor/commands/metadata.ts:68	command-label	Code block
src/features/editor/commands/metadata.ts:69	command-label	Delete table
src/features/editor/commands/metadata.ts:70	command-label	Add row above
src/features/editor/commands/metadata.ts:71	command-label	Add row below
src/features/editor/commands/metadata.ts:72	command-label	Add column before
src/features/editor/commands/metadata.ts:73	command-label	Add column after
src/features/editor/commands/metadata.ts:74	command-label	Move row up
src/features/editor/commands/metadata.ts:75	command-label	Move row down
src/features/editor/commands/metadata.ts:76	command-label	Move column left
src/features/editor/commands/metadata.ts:77	command-label	Move column right
src/features/editor/commands/metadata.ts:78	command-label	Delete row
src/features/editor/commands/metadata.ts:79	command-label	Delete column
src/features/editor/commands/metadata.ts:80	command-label	Clear block formatting
src/features/editor/components/editor-block-insertion-menu.tsx:9	prose-word	Paragraph
src/features/editor/components/editor-block-insertion-menu.tsx:10	prose	Heading 1
src/features/editor/components/editor-block-insertion-menu.tsx:11	prose	Heading 2
src/features/editor/components/editor-block-insertion-menu.tsx:12	prose	Heading 3
src/features/editor/components/editor-block-insertion-menu.tsx:13	prose	Heading 4
src/features/editor/components/editor-block-insertion-menu.tsx:14	prose	Heading 5
src/features/editor/components/editor-block-insertion-menu.tsx:15	prose	Heading 6
src/features/editor/components/editor-block-insertion-menu.tsx:16	prose-word	Image
src/features/editor/components/editor-block-insertion-menu.tsx:17	prose	Block quote
src/features/editor/components/editor-block-insertion-menu.tsx:18	prose	Bulleted list
src/features/editor/components/editor-block-insertion-menu.tsx:19	prose	Numbered list
src/features/editor/components/editor-block-insertion-menu.tsx:20	prose	Task list
src/features/editor/components/editor-block-insertion-menu.tsx:21	prose	Code block
src/features/editor/components/editor-block-insertion-menu.tsx:22	prose-word	Table
src/features/editor/components/editor-block-insertion-menu.tsx:23	prose	Horizontal rule
src/features/editor/components/editor-block-insertion-menu.tsx:24	prose	List item
src/features/editor/components/editor-block-insertion-menu.tsx:85	attr:aria-label	Insert block
src/features/editor/components/editor-context-popup.tsx:117	prose	Context actions
src/features/editor/components/editor-context-popup.tsx:427	attr:label	Block type
src/features/editor/components/editor-context-popup.tsx:435	attr:label	Insert
src/features/editor/components/editor-footnote-preview.tsx:53	jsx-text	No footnote definition for this label.
src/features/editor/plugins/blockSelectionInteraction.ts:58	prose	Block quote
src/features/editor/plugins/blockSelectionInteraction.ts:63	prose	Code block
src/features/editor/plugins/blockSelectionInteraction.ts:65	prose	Footnote definition
src/features/editor/plugins/blockSelectionInteraction.ts:70	prose	Horizontal rule
src/features/editor/plugins/blockSelectionInteraction.ts:72	prose	List item
src/features/editor/plugins/blockSelectionInteraction.ts:198	prose	Insert block at indicated boundary
src/features/editor/plugins/blockSelectionInteraction.ts:199	prose	Insert block
src/features/editor/plugins/blockSelectionInteraction.ts:638	prose	Document selected
src/features/editor/plugins/blockSelectionInteraction.ts:651	template	{} blocks selected
src/features/editor/plugins/imageView.ts:215	prose	Image could not be resolved
src/features/editor/plugins/imageView.ts:347	prose	Load image
src/features/editor/plugins/imageView.ts:437	template	Remote image from {}.
src/features/editor/plugins/imageView.ts:440	template	Loading image from {}...
src/features/editor/plugins/imageView.ts:472	prose	Load image
src/features/editor/plugins/imageView.ts:485	prose	Resolving image...
src/features/editor/plugins/imageView.ts:489	prose	Image unavailable.
src/features/editor/plugins/imageView.ts:494	prose	Image not found.
src/features/editor/plugins/imageView.ts:497	prose	Save the document to resolve this image.
src/features/editor/plugins/imageView.ts:500	prose	Image outside the current folder.
